sku,name,slug,price,shipping_category,tax_category,description,taxon
14716,Brick 1 x 1 x 3,part-14716,10,Small Packet,Exempt,Part number 14716,Bricks
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,part-22886,24.3,Lettermail,Exempt,Part number 22886,Bricks
2356,Brick 4 x 6,part-2356,34.16,Lettermail,Exempt,Part number 2356,Bricks
2357,Brick 2 x 2 Corner,part-2357,41.19,Lettermail,Exempt,Part number 2357,Bricks
2453a,Brick 1 x 1 x 5 with Blocked Open Stud,part-2453a,30.18,Lettermail,Exempt,Part number 2453a,Bricks
2453b,Brick 1 x 1 x 5 with Solid Stud,part-2453b,44.19,Lettermail,Exempt,Part number 2453b,Bricks
2454a,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,part-2454a,30.13,Lettermail,Exempt,Part number 2454a,Bricks
2454b,Brick 1 x 2 x 5 with Hollow Studs and Bottom Stud Holder with Symmetric Ridges,part-2454b,17.97,Lettermail,Exempt,Part number 2454b,Bricks
2456,Brick 2 x 6,part-2456,38.05,Lettermail,Exempt,Part number 2456,Bricks
2465,Brick 1 x 16,part-2465,41.5,Lettermail,Exempt,Part number 2465,Bricks
3001,Brick 2 x 4,part-3001,43.78,Lettermail,Exempt,Part number 3001,Bricks
3001a,Brick 2 x 4 without Cross Supports,part-3001a,9.73,Lettermail,Exempt,Part number 3001a,Bricks
3001b,"Brick 2 x 4 without Cross Supports, with Hole in Top",part-3001b,24.22,Lettermail,Exempt,Part number 3001b,Bricks
3001c,Brick 2 x 4 without Bottom Tubes,part-3001c,45.42,Lettermail,Exempt,Part number 3001c,Bricks
3002,Brick 2 x 3,part-3002,36.06,Lettermail,Exempt,Part number 3002,Bricks
3002a,Brick 2 x 3 without Cross Supports,part-3002a,28.92,Lettermail,Exempt,Part number 3002a,Bricks
3002b,Brick 2 x 3 without Bottom Tubes,part-3002b,19.3,Lettermail,Exempt,Part number 3002b,Bricks
3003,Brick 2 x 2,part-3003,39.06,Lettermail,Exempt,Part number 3003,Bricks
3003a,Brick 2 x 2 without Cross Support,part-3003a,14.31,Lettermail,Exempt,Part number 3003a,Bricks
3003b,Brick 2 x 2  without Inside Supports or Tubes,part-3003b,8.21,Lettermail,Exempt,Part number 3003b,Bricks
3004,Brick 1 x 2,part-3004,11.82,Lettermail,Exempt,Part number 3004,Bricks
3005,Brick 1 x 1,part-3005,26.74,Lettermail,Exempt,Part number 3005,Bricks
3006,Brick 2 x 10,part-3006,41.77,Lettermail,Exempt,Part number 3006,Bricks
3006a,"Brick 2 x 10 without Bottom Tubes, with Cross Supports",part-3006a,36.07,Lettermail,Exempt,Part number 3006a,Bricks
3006b,"Brick 2 x 10 without Bottom Tubes, Slotted (with 1 slot)",part-3006b,43.49,Lettermail,Exempt,Part number 3006b,Bricks
3007,Brick 2 x 8,part-3007,49.91,Lettermail,Exempt,Part number 3007,Bricks
30072,Brick 12 x 24,part-30072,23.24,Lettermail,Exempt,Part number 30072,Bricks
30075,"Brick, Modified 2 x 6 x 3 Triple Curved Bottom",part-30075,15.12,Lettermail,Exempt,Part number 30075,Bricks
3007a,"Brick 2 x 8 without Bottom Tubes, with Cross Supports",part-3007a,7.39,Lettermail,Exempt,Part number 3007a,Bricks
3008,Brick 1 x 8,part-3008,14.87,Lettermail,Exempt,Part number 3008,Bricks
3008a,"Brick 1 x 8 without Bottom Tubes, with Raised Cross Supports",part-3008a,28.81,Lettermail,Exempt,Part number 3008a,Bricks
3008b,"Brick 1 x 8 with Bottom Tubes, with 3 Lowered Cross Supports",part-3008b,20.4,Lettermail,Exempt,Part number 3008b,Bricks
3009,Brick 1 x 6,part-3009,40.21,Lettermail,Exempt,Part number 3009,Bricks
3009a,"Brick 1 x 6 without Bottom Tubes, with 2 Raised Cross Supports",part-3009a,29.2,Lettermail,Exempt,Part number 3009a,Bricks
3009b,"Brick 1 x 6 with Bottom Tubes, with 2 Lowered Cross Supports",part-3009b,47.93,Lettermail,Exempt,Part number 3009b,Bricks
3010,Brick 1 x 4,part-3010,24.31,Lettermail,Exempt,Part number 3010,Bricks
30144,Brick 2 x 4 x 3,part-30144,43.71,Lettermail,Exempt,Part number 30144,Bricks
30145,Brick 2 x 2 x 3,part-30145,33.98,Lettermail,Exempt,Part number 30145,Bricks
30145p01,Brick 2 x 2 x 3 with White Stripes Black Outlined Print,part-30145p01,45.34,Lettermail,Exempt,Part number 30145p01,Bricks
30400,Brick 4 x 18,part-30400,43.03,Lettermail,Exempt,Part number 30400,Bricks
3065,Brick 1 x 2 without Bottom Tube,part-3065,0.88,Lettermail,Exempt,Part number 3065,Bricks
3066,Brick 1 x 4 without Bottom Tubes,part-3066,30.7,Lettermail,Exempt,Part number 3066,Bricks
3066p01,"Brick 1 x 4 with no Centre Studs and LEGO Logo Open ""O""/Red Print",part-3066p01,47.58,Lettermail,Exempt,Part number 3066p01,Bricks
3067,Brick 1 x 6 without Bottom Tubes,part-3067,4.56,Lettermail,Exempt,Part number 3067,Bricks
3245,Brick 1 x 2 x 2 [Undetermined Bottom],part-3245,23.94,Lettermail,Exempt,Part number 3245,Bricks
3245a,Brick 1 x 2 x 2 with Center Pin,part-3245a,7.65,Lettermail,Exempt,Part number 3245a,Bricks
3245b,Brick 1 x 2 x 2 with Inside Axle Holder,part-3245b,15.63,Lettermail,Exempt,Part number 3245b,Bricks
3245c,Brick 1 x 2 x 2 with Inside Stud Holder,part-3245c,6.83,Lettermail,Exempt,Part number 3245c,Bricks
3622,Brick 1 x 3,part-3622,22.21,Lettermail,Exempt,Part number 3622,Bricks
3754,Brick 1 x 6 x 5,part-3754,34.39,Lettermail,Exempt,Part number 3754,Bricks
3755,Brick 1 x 3 x 5,part-3755,18.46,Lettermail,Exempt,Part number 3755,Bricks
3755b,Brick 1 x 3 x 5 with Side Supports,part-3755b,26.91,Lettermail,Exempt,Part number 3755b,Bricks
39268,Brick 1 x 5 x 2,part-39268,20.25,Lettermail,Exempt,Part number 39268,Bricks
4201,Brick 8 x 8,part-4201,12.68,Lettermail,Exempt,Part number 4201,Bricks
4202,Brick 4 x 12,part-4202,21.36,Lettermail,Exempt,Part number 4202,Bricks
4204,Brick 8 x 16,part-4204,5.17,Lettermail,Exempt,Part number 4204,Bricks
45403,"Brick, Modified 5 x 12 with Two 1 x 2 Cutouts, 3 Holes on Side",part-45403,10.95,Lettermail,Exempt,Part number 45403,Bricks
46212,Brick 1 x 2 x 5 without Side Supports,part-46212,44,Lettermail,Exempt,Part number 46212,Bricks
49311,Brick 1 x 4 x 3,part-49311,48.97,Lettermail,Exempt,Part number 49311,Bricks
6111,Brick 1 x 10,part-6111,44.76,Lettermail,Exempt,Part number 6111,Bricks
6112,Brick 1 x 12,part-6112,25.82,Lettermail,Exempt,Part number 6112,Bricks
6212,Brick 4 x 10,part-6212,26.31,Lettermail,Exempt,Part number 6212,Bricks
6213,Brick 2 x 6 x 3,part-6213,20,Lettermail,Exempt,Part number 6213,Bricks
700,Brick 10 x 20 [Undetermined Underside Type],part-700,28.3,Lettermail,Exempt,Part number 700,Bricks
700e,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support and 4 Side Supports (early Baseplate)",part-700e,6.99,Lettermail,Exempt,Part number 700e,Bricks
700ed,"Brick 10 x 20 with Bottom Tubes in single row around edge, with '+' Cross Support",part-700ed,4.06,Lettermail,Exempt,Part number 700ed,Bricks
700ed2,"Brick 10 x 20 with Bottom Tubes in single row around edge, with dual '+' Cross Supports",part-700ed2,26.32,Lettermail,Exempt,Part number 700ed2,Bricks
700ex,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support (early Baseplate)",part-700ex,12.54,Lettermail,Exempt,Part number 700ex,Bricks
702,Brick 4 x 4 Corner,part-702,22.5,Lettermail,Exempt,Part number 702,Bricks
733,"Brick 10 x 10 without Bottom Tubes, without Cross Supports",part-733,17.35,Lettermail,Exempt,Part number 733,Bricks
733ex,"Brick 10 x 10 without Bottom Tubes, with '+' Cross Support (early Baseplate)",part-733ex,46.59,Lettermail,Exempt,Part number 733ex,Bricks
772,Brick 1 x 2 x 2 with Hollow Underside,part-772,21.18,Lettermail,Exempt,Part number 772,Bricks
bslot01,"Brick 1 x 2 without Bottom Tube, Slotted (with 1 slot)",part-bslot01,39.61,Lettermail,Exempt,Part number bslot01,Bricks
bslot01a,Brick 1 x 2 with 2 Slots,part-bslot01a,21.12,Lettermail,Exempt,Part number bslot01a,Bricks
bslot02,"Brick 2 x 2 without Bottom Tubes, Slotted (with 1 slot)",part-bslot02,37.24,Lettermail,Exempt,Part number bslot02,Bricks
bslot02a,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, opposite)",part-bslot02a,33.15,Lettermail,Exempt,Part number bslot02a,Bricks
bslot02b,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, right)",part-bslot02b,4.09,Lettermail,Exempt,Part number bslot02b,Bricks
bslot03,"Brick 2 x 3 without Bottom Tubes, Slotted (with 1 slot)",part-bslot03,23.84,Lettermail,Exempt,Part number bslot03,Bricks
bslot03b,Brick 2 x 3 with 2 Slots Right,part-bslot03b,43.3,Lettermail,Exempt,Part number bslot03b,Bricks
bslot03c,Brick 2 x 3 with 2 Slots Left,part-bslot03c,17.26,Lettermail,Exempt,Part number bslot03c,Bricks
bslot04,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",part-bslot04,27.4,Lettermail,Exempt,Part number bslot04,Bricks
bslot04a,"Brick 2 x 4 without Bottom Tubes, Slotted (with 2 slots)",part-bslot04a,36.87,Lettermail,Exempt,Part number bslot04a,Bricks
bslot08,"Brick 2 x 8 without Bottom Tubes, Slotted (with 1 slot)",part-bslot08,35.45,Lettermail,Exempt,Part number bslot08,Bricks
bslot08a,Brick 2 x 8 with 2 Slots,part-bslot08a,33.43,Lettermail,Exempt,Part number bslot08a,Bricks
bslot10,Brick 2 x 10 with 1 Slot,part-bslot10,17.11,Lettermail,Exempt,Part number bslot10,Bricks
bslot10a,Brick 2 x 10 with 2 Slots,part-bslot10a,35.57,Lettermail,Exempt,Part number bslot10a,Bricks
bslot12,"Brick 2 x 12 without Bottom Tubes, Slotted (with 1 slot)",part-bslot12,41.31,Lettermail,Exempt,Part number bslot12,Bricks
bslot12a,Brick 2 x 12 with 2 Slots,part-bslot12a,23.84,Lettermail,Exempt,Part number bslot12a,Bricks
bslot14,"Brick 2 x 14 without Bottom Tubes, Slotted (with 1 slot)",part-bslot14,26.99,Lettermail,Exempt,Part number bslot14,Bricks
bslot14a,Brick 2 x 14 with 2 Slots,part-bslot14a,40.88,Lettermail,Exempt,Part number bslot14a,Bricks
bslot16,Brick 4 x 4 Corner Right with 2 Slots,part-bslot16,15.06,Lettermail,Exempt,Part number bslot16,Bricks